time,setpoint,sensor,sinyal kendali
2024-08-25 17:56:05.332784,36.0,24.66,100
2024-08-25 17:56:05.534757,36.0,24.66,100
2024-08-25 17:56:05.738271,36.0,24.6,100
2024-08-25 17:56:05.938195,36.0,24.71,100
2024-08-25 17:56:06.163689,36.0,24.67,100
2024-08-25 17:56:06.365677,36.0,24.71,100
2024-08-25 17:56:06.567222,36.0,24.71,100
2024-08-25 17:56:06.770037,36.0,24.71,100
2024-08-25 17:56:06.971687,36.0,24.71,100
2024-08-25 17:56:07.172920,36.0,24.73,100
2024-08-25 17:56:07.395764,36.0,24.74,100
2024-08-25 17:56:07.596639,36.0,24.81,100
2024-08-25 17:56:07.800667,36.0,24.82,100
2024-08-25 17:56:08.005812,36.0,24.82,100
2024-08-25 17:56:08.231192,36.0,24.82,100
2024-08-25 17:56:08.434346,36.0,24.82,100
2024-08-25 17:56:08.632471,36.0,24.83,100
2024-08-25 17:56:08.862985,36.0,24.83,100
2024-08-25 17:56:09.069768,36.0,24.94,100
2024-08-25 17:56:09.266978,36.0,24.94,100
2024-08-25 17:56:09.494144,36.0,24.94,100
2024-08-25 17:56:09.696824,36.0,24.94,100
2024-08-25 17:56:09.898811,36.0,24.94,100
2024-08-25 17:56:10.100034,36.0,24.94,100
2024-08-25 17:56:10.304407,36.0,24.96,100
2024-08-25 17:56:10.528289,36.0,24.98,100
2024-08-25 17:56:10.730126,36.0,25.05,100
2024-08-25 17:56:10.933466,36.0,25.06,100
2024-08-25 17:56:11.133716,36.0,25.06,100
2024-08-25 17:56:11.359430,36.0,25.06,100
2024-08-25 17:56:11.567299,36.0,25.06,100
2024-08-25 17:56:11.794066,36.0,25.06,100
2024-08-25 17:56:11.995510,36.0,25.06,100
2024-08-25 17:56:12.193957,36.0,25.1,100
2024-08-25 17:56:12.399394,36.0,25.11,100
2024-08-25 17:56:12.624845,36.0,25.18,100
2024-08-25 17:56:12.827533,36.0,25.17,100
2024-08-25 17:56:13.030318,36.0,25.17,100
2024-08-25 17:56:13.231910,36.0,25.17,100
2024-08-25 17:56:13.458119,36.0,25.2,100
2024-08-25 17:56:13.660789,36.0,25.16,100
2024-08-25 17:56:13.864449,36.0,25.19,100
2024-08-25 17:56:14.093445,36.0,25.23,100
2024-08-25 17:56:14.291937,36.0,25.24,100
2024-08-25 17:56:14.497691,36.0,25.29,100
2024-08-25 17:56:14.727316,36.0,25.29,100
2024-08-25 17:56:14.929608,36.0,25.29,100
2024-08-25 17:56:15.160524,36.0,25.29,100
2024-08-25 17:56:15.368765,36.0,25.29,100
2024-08-25 17:56:15.562542,36.0,25.36,100
2024-08-25 17:56:15.791961,36.0,25.4,100
